country_name,n_ironhack_campuses,country_iso_code,gdp,taxes_per_gdp,area,coast_ratio,population,climate,min_drinking_age,internet_users_ratio,avg_chocolate_consumption,paid_leave,olympic_medals,median_age,birth_rate,life_expectancy,obesity_rate,years_in_school,christian,muslim,unaffiliated,hindu,buddhist,folk_religion,other_religion,jewish,happiness_index_2019,Af,Am,Aw,BSh,BSk,BWh,Cfa,Cfb,Csa,Csb,Cwa,Dfa,Dfb,Dfc,ET
Colombia,0,170,683940000000,26.5,1138910,0.002816728,50355650,Af,18,0.595564093,1.231132075,33,34,31.2,16.51,76.91,22.3,8.3,42810000,10000,3050000,5000,5000,370000,40000,5000,6.125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,0,188,100250000000,14.3,51100,0.025244618,5151140,Aw,18,0.717311896,0.460566038,19,4,32.6,14.53,79.41,25.7,8.8,4230000,5000,370000,5000,5000,40000,10000,5000,7.167,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,0,191,107110000000,46.1,56594,0.103102802,4208973,Dfb,18,0.737522431,1.418181818,33,52,43.9,8.68,76.97,24.4,11.3,4110000,60000,230000,5000,5000,5000,5000,5000,5.432,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cyprus,0,196,33670000000,39.9,9251,0.070046481,1281506,Csa,18,0.815035591,1.174528302,34,1,37.9,10.76,79.51,21.8,12.1,810000,280000,10000,5000,5000,5000,5000,5000,6.046,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Czech Republic,0,203,409970000000,40.5,78867,0.0,10702596,Dfb,18,0.805669017,2.492380952,33,98,43.3,8.75,79.5,26.0,12.7,2450000,5000,8020000,5000,5000,5000,5000,5000,6.852,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Denmark,0,208,326200000000,53.0,43094,0.169722003,5894687,Dfb,18,0.96228994,2.950188679,36,206,42.0,11.17,81.45,19.7,12.6,4630000,230000,650000,20000,10000,5000,5000,5000,7.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dominican Republic,0,214,184450000000,14.9,48670,0.026463941,10597348,Aw,18,0.727118615,0.885283019,23,12,27.9,18.24,72.28,27.6,7.8,8740000,5000,1080000,5000,5000,90000,10000,5000,5.425,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),0,178,96030000000,22.5,2344858,1.58e-05,5417414,Aw,18,1.519425504,0.04490566,12,0,19.5,40.53,61.43,6.7,6.8,63210000,970000,1170000,30000,5000,490000,100000,5000,4.812,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,0,218,182240000000,32.0,283561,0.007888955,17093159,Aw,18,0.552776231,0.600943396,23,5,28.8,16.71,77.76,19.9,8.7,13610000,5000,800000,5000,5000,40000,5000,5000,6.028,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,0,818,1223040000000,17.9,1001450,0.002446453,106437241,BWh,21,0.438236914,0.107924528,28,38,24.1,26.44,74.01,32.0,7.2,4120000,76990000,5000,5000,5000,5000,5000,5000,4.166,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
El Salvador,0,222,52260000000,23.7,21041,0.014590561,6528135,Aw,18,0.329922099,0.289622642,26,0,27.7,18.22,75.11,24.6,6.9,5460000,5000,680000,5000,5000,30000,20000,5000,6.253,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,233,47440000000,39.9,45228,0.083886088,1220042,Dfb,18,0.911358789,4.955909091,31,43,43.7,9.03,77.63,21.2,12.7,540000,5000,800000,5000,5000,5000,5000,5000,5.893,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Finland,0,246,261390000000,53.1,338145,0.003696639,5587442,Dfc,18,0.880933171,0.795660377,36,472,42.8,10.49,81.55,22.2,12.4,4300000,40000,1020000,5000,5000,5000,5000,5000,7.769,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
France,1,250,2832170000000,53.8,643801,0.007250688,68084217,Cfb,18,0.811725837,2.591132075,36,874,41.7,11.77,82.39,21.6,11.5,39560000,4710000,17580000,30000,280000,220000,100000,310000,6.592,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
