name,country_id,slug,value,date_of_information,ranking,region
Guam,#N/A,guam,"168,801",July 2021 est.,185,Australia - Oceania
Saint Lucia,#N/A,saint-lucia,"166,637",July 2021 est.,186,Central America
Curacao,#N/A,curacao,"151,885",July 2021 est.,187,Central America
Aruba,#N/A,aruba,"120,917",July 2021 est.,188,Central America
Grenada,#N/A,grenada,"113,570",July 2021 est.,189,Central America
Kiribati,#N/A,kiribati,"113,001",July 2021 est.,190,Australia - Oceania
Virgin Islands,#N/A,virgin-islands,"105,870",July 2021 est.,191,Central America
Tonga,#N/A,tonga,"105,780",July 2021 est.,192,Australia - Oceania
"Micronesia, Federated States of",#N/A,micronesia-federated-states-of,"101,675",July 2021 est.,193,Australia - Oceania
Jersey,#N/A,jersey,"101,476",July 2021 est.,194,Europe
Saint Vincent and the Grenadines,#N/A,saint-vincent-and-the-grenadines,"101,145",July 2021 est.,195,Central America
Antigua and Barbuda,#N/A,antigua-and-barbuda,"99,175",July 2021 est.,196,Central America
Seychelles,#N/A,seychelles,"96,387",July 2021 est.,197,Africa
Isle of Man,#N/A,isle-of-man,"90,895",July 2021 est.,198,Europe
Andorra,#N/A,andorra,"85,645",July 2021 est.,199,Europe
Marshall Islands,#N/A,marshall-islands,"78,831",July 2021 est.,200,Australia - Oceania
Dominica,#N/A,dominica,"74,584",July 2021 est.,201,Central America
Bermuda,#N/A,bermuda,"72,084",July 2021 est.,202,North America
Guernsey,#N/A,guernsey,"67,334",July 2021 est.,203,Europe
Cayman Islands,#N/A,cayman-islands,"63,131",July 2021 est.,204,Central America
Greenland,#N/A,greenland,"57,799",July 2021 est.,205,North America
Turks and Caicos Islands,#N/A,turks-and-caicos-islands,"57,196",July 2021 est.,206,Central America
Saint Kitts and Nevis,#N/A,saint-kitts-and-nevis,"54,149",July 2021 est.,207,Central America
Faroe Islands,#N/A,faroe-islands,"51,943",July 2021 est.,208,Europe
Northern Mariana Islands,#N/A,northern-mariana-islands,"51,659",July 2021 est.,209,Australia - Oceania
American Samoa,#N/A,american-samoa,"46,366",July 2021 est.,210,Australia - Oceania
Sint Maarten,#N/A,sint-maarten,"44,564",July 2021 est.,211,Central America
Liechtenstein,#N/A,liechtenstein,"39,425",July 2021 est.,212,Europe
British Virgin Islands,#N/A,british-virgin-islands,"37,891",July 2021 est.,213,Central America
San Marino,#N/A,san-marino,"34,467",July 2021 est.,214,Europe
Saint Martin,#N/A,saint-martin,"32,680",July 2021 est.,215,Central America
Monaco,#N/A,monaco,"31,223",July 2021 est.,216,Europe
Gibraltar,#N/A,gibraltar,"29,516",July 2021 est.,217,Europe
Palau,#N/A,palau,"21,613",July 2021 est.,218,Australia - Oceania
Anguilla,#N/A,anguilla,"18,403",July 2021 est.,219,Central America
Wallis and Futuna,#N/A,wallis-and-futuna,"15,851",July 2021 est.,220,Australia - Oceania
Tuvalu,#N/A,tuvalu,"11,448",July 2021 est.,221,Australia - Oceania
Nauru,#N/A,nauru,"9,770",July 2021 est.,222,Australia - Oceania
Cook Islands,#N/A,cook-islands,"8,327",July 2021 est.,223,Australia - Oceania
"Saint Helena, Ascension, and Tristan da Cunha",#N/A,saint-helena-ascension-and-tristan-da-cunha,"7,915",July 2021 est.,224,Africa
Saint Barthelemy,#N/A,saint-barthelemy,"7,116",July 2021 est.,225,Central America
Montserrat,#N/A,montserrat,"5,387",July 2021 est.,226,Central America
Saint Pierre and Miquelon,#N/A,saint-pierre-and-miquelon,"5,321",July 2021 est.,227,North America
Falkland Islands (Islas Malvinas),#N/A,falkland-islands-islas-malvinas,"3,198",2016 est.,228,South America
Svalbard,#N/A,svalbard,"2,926",January 2021 est.,229,Europe
Christmas Island,#N/A,christmas-island,"2,205",2016 est.,230,Australia - Oceania
Niue,#N/A,niue,"2,000",July 2021 est.,231,Australia - Oceania
Norfolk Island,#N/A,norfolk-island,"1,748",2016 est.,232,Australia - Oceania
Tokelau,#N/A,tokelau,"1,647",2019 est.,233,Australia - Oceania
Paracel Islands,#N/A,paracel-islands,"1,440",July 2014 est.,234,East Asia/Southeast Asia
Holy See (Vatican City),#N/A,holy-see-vatican-city,"1,000",2019 est.,235,Europe
Cocos (Keeling) Islands,#N/A,cocos-keeling-islands,596,July 2014 est.,236,Australia - Oceania
Pitcairn Islands,#N/A,pitcairn-islands,50,2021 est.,237,Australia - Oceania
